order,name,symbol,sector,industry,NIFTY,BANKNIFTY,NIFTYJR,CNX200,NIFTY_MID_SELECT,NIFTYSMLCAP250,NIFTY_TOTAL_MKT,CNX500,NIFTY_MICROCAP250,FO,FYERS_NAME
1089,MSP Steel & Power Limited,MSPL,Non-Energy Minerals,Steel,False,False,False,False,False,False,False,False,False,False,
1090,Rane (Madras) Limited,RML,Producer Manufacturing,Auto Parts: OEM,False,False,False,False,False,False,False,False,False,False,
1091,Shipping Corporation of India Land and Assets Limited,SCILAL,Miscellaneous,Miscellaneous,False,False,False,False,False,False,False,False,False,False,
1092,Filatex India Ltd,FILATEX,Process Industries,Textiles,False,False,False,False,False,False,False,False,False,False,
1093,Apollo Pipes Ltd.,APOLLOPIPE,Producer Manufacturing,Miscellaneous Manufacturing,False,False,False,False,False,False,False,False,False,False,
1094,EIH Associated Hotels Limited,EIHAHOTELS,Consumer Services,Hotels/Resorts/Cruise lines,False,False,False,False,False,False,False,False,False,False,
1095,Krsnaa Diagnostics Limited,KRSNAA,Health Services,Medical/Nursing Services,False,False,False,False,False,False,False,False,False,False,
1096,S.P. Apparels Ltd.,SPAL,Consumer Non-Durables,Apparel/Footwear,False,False,False,False,False,False,False,False,False,False,
1097,DCX Systems Limited,DCXINDIA,Producer Manufacturing,Electrical Products,False,False,False,False,False,False,False,False,False,False,
1098,Capacit'e Infraprojects Ltd.,CAPACITE,Industrial Services,Engineering & Construction,False,False,False,False,False,False,False,False,False,False,
1099,Cantabil Retail India Limited,CANTABIL,Consumer Non-Durables,Apparel/Footwear,False,False,False,False,False,False,False,False,False,False,
1100,La Opala RG Ltd.,LAOPALA,Consumer Durables,Home Furnishings,False,False,False,False,False,False,False,False,False,False,
1101,Nilkamal Limited,NILKAMAL,Consumer Durables,Home Furnishings,False,False,False,False,False,False,False,False,False,False,
